SmartBiz Backend running on port 5001
Connected to SmartBiz Master Database.
Seeding initial translations...
[2026-06-19T06:50:01.429Z] POST /api/auth/login from ::ffff:10.34.41.154
[2026-06-19T06:50:01.664Z] GET /api/dashboard/stats from ::ffff:10.34.41.154
[2026-06-19T06:50:08.730Z] GET /api/translations/Hindi from ::ffff:10.34.41.154
[2026-06-19T06:50:26.973Z] GET /api/customers from ::ffff:10.34.41.154
[2026-06-19T06:50:45.790Z] GET /api/translations/Telugu from ::ffff:10.34.41.154
[2026-06-19T06:50:53.571Z] GET /api/translations/Gujarati from ::ffff:10.34.41.154
[2026-06-19T06:51:09.118Z] GET /api/translations/Telugu from ::ffff:10.34.41.154
[2026-06-19T06:51:22.840Z] GET /api/customers from ::ffff:10.34.41.154
[2026-06-19T06:53:03.864Z] GET /api/expenses from ::ffff:10.34.41.154
[2026-06-19T06:53:08.618Z] GET /api/inventory from ::ffff:10.34.41.154
[2026-06-19T07:08:31.471Z] POST /api/auth/login from ::ffff:10.34.41.154
[2026-06-19T07:08:31.932Z] GET /api/dashboard/stats from ::ffff:10.34.41.154
[2026-06-19T07:08:39.786Z] GET /api/translations/Telugu from ::ffff:10.34.41.154
[2026-06-19T07:08:48.320Z] GET /api/customers from ::ffff:10.34.41.154
[2026-06-19T07:09:34.235Z] GET /api/expenses from ::ffff:10.34.41.154
[2026-06-19T07:09:40.362Z] GET /api/ai/insights from ::ffff:10.34.41.154
[2026-06-19T07:09:45.031Z] GET /api/ai/insights from ::ffff:10.34.41.154
